problem_statement,titleslug,title,tags,num_occur
"You are given row x col grid representing a map where grid[i][j] = 1 represents land and grid[i][j] = 0 represents water. Grid cells are connected horizontally/vertically (not diagonally). The grid is completely surrounded by water, and there is exactly one island (i.e., one or more connected land cells). The island doesn't have ""lakes"", meaning the water inside isn't connected to the water around the island. One cell is a square with side length 1. The grid is rectangular, width and height don't exceed 100. Determine the perimeter of the island.  ",island-perimeter,Island Perimeter,"Array, Depth-First Search, Breadth-First Search, Matrix",3
"Given a root node reference of a BST and a key, delete the node with the given key in the BST. Return the root node reference (possibly updated) of the BST. Basically, the deletion can be divided into two stages:  Search for a node to remove. If the node is found, delete the node.   ",delete-node-in-a-bst,Delete Node in a BST,"Tree, Binary Search Tree, Binary Tree",3
"Given the root of a binary tree and an integer targetSum, return the number of paths where the sum of the values along the path equals targetSum. The path does not need to start or end at the root or a leaf, but it must go downwards (i.e., traveling only from parent nodes to child nodes).  ",path-sum-iii,Path Sum III,"Tree, Depth-First Search, Binary Tree",3
"A password is considered strong if the below conditions are all met:  It has at least 6 characters and at most 20 characters. It contains at least one lowercase letter, at least one uppercase letter, and at least one digit. It does not contain three repeating characters in a row (i.e., ""Baaabb0"" is weak, but ""Baaba0"" is strong).  Given a string password, return the minimum number of steps required to make password strong. if password is already strong, return 0. In one step, you can:  Insert one character to password, Delete one character from password, or Replace one character of password with another character.   ",strong-password-checker,Strong Password Checker,"String, Greedy, Heap (Priority Queue)",3
"Given an integer array nums with possible duplicates, randomly output the index of a given target number. You can assume that the given target number must exist in the array. Implement the Solution class:  Solution(int[] nums) Initializes the object with the array nums. int pick(int target) Picks a random index i from nums where nums[i] == target. If there are multiple valid i's, then each index should have an equal probability of returning.   ",random-pick-index,Random Pick Index,"Hash Table, Math, Reservoir Sampling, Randomized",3
"You are given an integer array nums of length n. Assume arrk to be an array obtained by rotating nums by k positions clock-wise. We define the rotation function F on nums as follow:  F(k) = 0 * arrk[0] + 1 * arrk[1] + ... + (n - 1) * arrk[n - 1].  Return the maximum value of F(0), F(1), ..., F(n-1). The test cases are generated so that the answer fits in a 32-bit integer.  ",rotate-function,Rotate Function,"Array, Math, Dynamic Programming",3
"Given two strings s and t, return true if s is a subsequence of t, or false otherwise. A subsequence of a string is a new string that is formed from the original string by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (i.e., ""ace"" is a subsequence of ""abcde"" while ""aec"" is not).  ",is-subsequence,Is Subsequence,"Two Pointers, String, Dynamic Programming",3
"Given two strings ransomNote and magazine, return true if ransomNote can be constructed by using the letters from magazine and false otherwise. Each letter in magazine can only be used once in ransomNote.  ",ransom-note,Ransom Note,"Hash Table, String, Counting",3
"Given an array of distinct integers nums and a target integer target, return the number of possible combinations that add up to target. The test cases are generated so that the answer can fit in a 32-bit integer.  ",combination-sum-iv,Combination Sum IV,"Array, Dynamic Programming",3
"Given a positive integer num, return true if num is a perfect square or false otherwise. A perfect square is an integer that is the square of an integer. In other words, it is the product of some integer with itself. You must not use any built-in library function, such as sqrt.  ",valid-perfect-square,Valid Perfect Square,"Math, Binary Search",3
"Design a simplified version of Twitter where users can post tweets, follow/unfollow another user, and is able to see the 10 most recent tweets in the user's news feed. Implement the Twitter class:  Twitter() Initializes your twitter object. void postTweet(int userId, int tweetId) Composes a new tweet with ID tweetId by the user userId. Each call to this function will be made with a unique tweetId. List<Integer> getNewsFeed(int userId) Retrieves the 10 most recent tweet IDs in the user's news feed. Each item in the news feed must be posted by users who the user followed or by the user themself. Tweets must be ordered from most recent to least recent. void follow(int followerId, int followeeId) The user with ID followerId started following the user with ID followeeId. void unfollow(int followerId, int followeeId) The user with ID followerId started unfollowing the user with ID followeeId.   ",design-twitter,Design Twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)",3
